Language	Argument	Marking_Type	Marking_Contrast	Local_or_global	Split_or_Fluid	TAM_DM	WO_DM	Other_DM	Animacy_Scale	Pronom_Scale	Def_Scale	Person_Scale
Yuki	P	differential	zero_nonzero	local	split-fluid	no	no	no	fit	none	fit	none
Quechua (Huallaga)	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Quechua (Huallaga)	P	differential	zero_nonzero	local	split-fluid	no	no	yes	none	none	none	none
Burushaski (Eastern)	A	differential	zero_nonzero	local	split-fluid	yes	no	no	none	fit	none	fit
Burushaski (Eastern)	P	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Aguaruna	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Aguaruna	P	differential	zero_nonzero	global	split	no	no	yes	none	fit	none	fit
Oksapmin	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Oksapmin	P	differential	zero_nonzero	local	fluid	no	no	no	fit	none	fit	none
Rapa Nui	A	differential	zero_nonzero	NotApplicable	split-fluid	no	yes	yes	none	none	none	none
Rapa Nui	P	differential	zero_nonzero	local; global	split-fluid	yes	yes	no	none	fit	none	none
Komnzo 	A	stable overt	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Komnzo 	P	differential	zero_nonzero	local	split-fluid	no	no	no	fit	none	none	none
Ik	A	differential	stem_length	NotApplicable	split	NotApplicable	NotApplicable	yes	none	none	none	none
Ik	P	differential	stem_length	global	split	NotApplicable	NotApplicable	yes	none	none	none	fit
Konso	A	differential	zero_nonzero	local	split	no	no	yes	none	viol	none	none
Konso	P	differential	zero_nonzero	local	split	no	no	yes	none	none	none	none
Sri Lanka Malay	A	differential	zero_nonzero	local	split	no	no	no	none	none	none	none
Sri Lanka Malay	P	differential	zero_nonzero	local	fluid	no	no	no	fit	none	fit	none
Gurindji Kriol	A	differential	zero_nonzero	local; global	split-fluid	yes	yes	no	fit	none	none	none
Gurindji Kriol	P	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
Kakua	A	none	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable	NotApplicable
