Marker_ID	TAM_Conditions	WordOrder_Conditions	Other_Conditions	Host	Marking_Probability	Example_ID
jup_01	all	all	all	PRON&SG; DEM&SG; PROPER&SG; KIN&SG; HUMAN&SPEC&SG&NOUN	>90%	jup01
jup_01	all	all	all	ANIMAL&ANTHROPOMORPH&SG&NOUN	>50%	jup03
jup_01	all	all	all	ANIMAL&SG&NOUN	50%	jup04
jup_01	all	all	all	SG&INANIMATE; SG&NONSPEC&INDEF&HUMAN&NOUN	<10%	jup05
jup_02	all	all	all	ALL&PL	>90%	jup02
she_01	all	OSV	all	ALL	>90%	NotAvailable
she_02	all	OSV	all	ALL	>90%	NotAvailable
she_03	all	OSV	all	ALL	>90%	NotAvailable
she_04	all	OSV	all	ALL	>90%	NotAvailable
she_05	all	OSV	all	ALL	>90%	she03
she_01	all	not OSV	all	DEF&NOUN	>	she01
she_01	all	not OSV	all	INDEF&NOUN	<	NotAvailable
she_02	all	not OSV	all	DEF&NOUN	>	NotAvailable
she_02	all	not OSV	all	INDEF&NOUN	<	she02
she_03	all	not OSV	all	DEF&NOUN	>	NotAvailable
she_03	all	not OSV	all	INDEF&NOUN	<	NotAvailable
she_04	all	not OSV	all	DEF&NOUN	>	NotAvailable
she_04	all	not OSV	all	INDEF&NOUN	<	NotAvailable
she_05	all	not OSV	all	DEF&NOUN	>	NotAvailable
she_05	all	not OSV	all	INDEF&NOUN	<	NotAvailable
ude_01	IMPER; NONFIN&EMBEDDED	all	all	ALL	<50%	ude01; ude02
ude_02	IMPER; NONFIN&EMBEDDED	all	all	ALL	<50%	ude01; ude02
ude_01	NON-IMPER & FINITE	LR_DISLOCATION	all	TOPIC	>90%	ude03
ude_02	NON-IMPER & FINITE	LR_DISLOCATION	all	TOPIC	>90%	NotAvailable
ude_01	NON-IMPER & FINITE	all	all	SPEC&GIVEN	50%	ude04
ude_02	NON-IMPER & FINITE	all	all	SPEC&GIVEN	50%	ude04
ude_01	NON-IMPER & FINITE	all	all	NONSPEC; NEW	<50%	ude05
ude_02	NON-IMPER & FINITE	all	all	NONSPEC; NEW	<50%	ude05
ude_01	NON-IMPER & FINITE	all	all	POSS&REFL&NP	<10%	ude06
ude_02	NON-IMPER & FINITE	all	all	POSS&REFL&NP	<10%	ude06
ude_01	all	all	fast speech, especially after /o/, /u/, -wA, or -fA	ALL	50%	NotAvailable
opm_01	all	all	all	HUMAN&SPEC&NONBABY; ANTHROPOMORPH&SPEC	>50%	opm01
opm_01	all	all	all	NONHUMAN; NONSPEC; BABY	<50%	opm02
opm_02	all	all	all	HUMAN&SPEC&NONBABY; ANTHROPOMORPH&SPEC	>50%	NotAvailable
