ID,Marker_ID,TAM_Conditions,WordOrder_Conditions,Other_Conditions,Host,Marking_Probability,Examples
133,dzg_01,,not OSV,,NONHUMAN ; HUMAN&AGENT,50%,
134,dzg_02,,not OSV,,NONHUMAN ; HUMAN&AGENT,50%,dzg01
135,dzg_01,,not OSV,,HUMAN&NONAGENT,<10%,
136,dzg_02,,not OSV,,HUMAN&NONAGENT,<10%,
137,dzg_01,,OSV,,ALL,>90%,
138,dzg_02,,OSV,,ALL,50%,dzg04
139,dzg_03,,,,PRON,>90%,dzg02
140,dzg_04,,,,PRON,>90%,
141,dzg_03,,,,NOUN,50%,dzg03
142,dzg_04,,,,NOUN,50%,
143,kor_03,,,,TOPIC ; FOCUS,>90%,kor05
144,kor_04,,,,TOPIC ; FOCUS,>90%,
145,kor_01,,,,NONHUMAN&NONTOPIC&NONFOCUS ; NOUN&NONTOPIC&NONFOCUS ; 3P&NONTOPIC&NONFOCUS,>50%,
146,kor_02,,,,NONHUMAN&NONTOPIC&NONFOCUS ; NOUN&NONTOPIC&NONFOCUS ; 3P&NONTOPIC&NONFOCUS,>50%,kor04
147,kor_01,,,,HUMAN&NONTOPIC&NONFOCUS ; 1P&NONTOPIC&NONFOCUS ; 2P&NONTOPIC&NONFOCUS ; PRON&NONTOPIC&NONFOCUS ; PROPER&NONTOPIC&NONFOCUS,50%,
148,kor_02,,,,HUMAN&NONTOPIC&NONFOCUS ; 1P&NONTOPIC&NONFOCUS ; 2P&NONTOPIC&NONFOCUS ; PRON&NONTOPIC&NONFOCUS ; PROPER&NONTOPIC&NONFOCUS,50%,
149,kor_01,,,,3P ; INANIMATE ; NOUN ; HEAVY,>,
150,kor_02,,,,3P ; INANIMATE ; NOUN ; HEAVY,>,kor04
151,kor_01,,,,1P ; 2P ; ANIMATE ; PRON ; PROPER ; LIGHT,<,kor03
152,kor_02,,,,1P ; 2P ; ANIMATE ; PRON ; PROPER ; LIGHT,<,kor03
153,yuk_01,,,,HUMAN ; ANTROPOMORPH,>90%,yuk01
154,yuk_02,,,,HUMAN ; ANTROPOMORPH,>90%,
155,yuk_01,,,,ANIMAL&AFFECTED ; ANIMAL&SPEC ; ANIMAL&PROMINENT,50%,yuk02
156,yuk_02,,,,ANIMAL&AFFECTED ; ANIMAL&SPEC ; ANIMAL&PROMINENT,50%,
157,yuk_01,,,,INANIMATE ; ANIMAL&NONAFFECTED ; ANIMAL&NONSPEC ; ANIMAL&NONPROMINENT,<10%,
158,yuk_02,,,,INANIMATE ; ANIMAL&NONAFFECTED ; ANIMAL&NONSPEC ; ANIMAL&NONPROMINENT,<10%,
159,khv_01,,,,NOUN,>90%,khv01
160,khv_01,,,,PRON,<10%,khv02
161,kxc_03,,,object cleft construction,NOUN,>90%,kxc04
162,kxc_03,,,subject cleft construction,NOUN,<10%,kxc03
163,kxc_02,,,object cleft construction,NOUN,<10%,kxc04
164,kxc_02,,,subject cleft construction,NOUN,>90%,kxc03
165,kxc_01,,,non-clefts,PROPER ; PRON ; DAYS_WEEK,>90%,kxc01
166,kxc_01,,,non-clefts,NOUN,<10%,kxc02
167,sci_01,,,,INSTITUTION,>90%,sci03
168,sci_01,,,,NONINSTITUTION,<10%,sci04
169,sci_02,,,,TOPIC ; DEF ; SPEC ; SG ; ANIMATE,>,sci01
170,sci_03,,,,TOPIC ; DEF ; SPEC ; SG ; ANIMATE,>,
171,sci_02,,,,NONTOPIC ; INDEF ; NONPSEC ; PL ; INANIMATE,<,sci02
172,sci_03,,,,NONTOPIC ; INDEF ; NONPSEC ; PL ; INANIMATE,<,
173,mem_01,,,,ALL&SG,50%,
174,mem_02,,,,ALL&SG,50%,mem01
175,mem_03,,,,ALL&SG,50%,mem01
176,mem_04,,,,ALL&PL,50%,
177,mem_05,,,,ALL&PL,50%,
178,gjr_01,NON-CONT ; NON-FUT ; NON-EPISTEMIC ; NON-DEONTIC,OVS,,ALL,>90%,gjr03
179,gjr_02,NON-CONT ; NON-FUT ; NON-EPISTEMIC ; NON-DEONTIC,OVS,,ALL,>90%,
180,gjr_01,NON-CONT ; NON-FUT ; NON-EPISTEMIC ; NON-DEONTIC,not OVS,,INANIMATE&NOUN ; NOUN&DISLOCATION,>50%,
181,gjr_02,NON-CONT ; NON-FUT ; NON-EPISTEMIC ; NON-DEONTIC,not OVS,,INANIMATE&NOUN ; NOUN&DISLOCATION,>50%,gjr01
182,gjr_01,CONT ; FUT ; EPISTEMIC ; DEONTIC,,,ALL,<50%,gjr02
183,gjr_02,CONT ; FUT ; EPISTEMIC ; DEONTIC,,,ALL,<50%,gjr02
184,cbv_01,,SOV,,HUMAN&NOUN ; DEM ; PRON ; PROPER ; KIN ; ANTHROPOMORPH,>90%,cbv01
185,cbv_01,,SOV,,DEF&NOUN,>50%,
186,cbv_01,,SOV,,ANIMAL,50%,
187,cbv_01,,SOV,SUBJ&ANIMATE,INANIMATE&NOUN,50%,
188,cbv_01,,SOV,SUBJ&INANIMATE,INANIMATE&NOUN,>90%,cbv03
189,cbv_01,,not SOV,,ALL,>90%,cbv02
190,heb_01,,,,DEF ; PRON ; PROPER,>90%,heb01
191,heb_01,,,,INDEF,<10%,heb02
192,pes_01,,,,PRON ; PROPER ; DEF ; INDEF&SPEC,>90%,pes01
193,pes_01,,,,INDEF&NONSPEC&ANIMATE,>50%,pes02
194,pes_01,,,,INDEF&NONSPEC&INANIMATE,<50%,pes03
195,esu_01,,,,3P&SG,>90%,esu02
196,esu_02,,,,3P&PL,>90%,esu01
197,esu_03,,,,3P&DUAL,>90%,
198,esu_06,,,,1P ; 2P,>90%,esu03
199,esu_04,,,,3P&PL,>90%,esu02
200,esu_05,,,,3P&DUAL,>90%,
201,esu_04,,,,3P&SG,<10%,esu01
202,esu_05,,,,3P&SG,<10%,esu01
203,esu_07,,,,1P ; 2P,>90%,esu04
204,dhi_01,,,,HUMAN ; ANTHROPOMORPH,>50%,dhi01
205,dhi_02,,,,HUMAN ; ANTHROPOMORPH,>50%,dhi02
206,dhi_01,,,,INANIMATE,<50%,dhi03
207,dhi_02,,,,INANIMATE,<50%,
208,dhi_01,,,,DEF,>,dhi06
209,dhi_01,,,,INDEF,<,dhi07
210,dhi_01,,,SUBJ&NONHUMAN,ANIMAL&NONANTHROPOMORPH,>,dhi04
211,dhi_01,,,SUBJ&HUMAN,ANIMAL&NONANTHROPOMORPH,<,dhi05
212,dhi_02,,,SUBJ&NONHUMAN,ANIMAL&NONANTHROPOMORPH,>,
213,dhi_02,,,SUBJ&HUMAN,ANIMAL&NONANTHROPOMORPH,<,
214,qiang_01,,SOV,OBJ&HIGHER,LOWER,50%,qiang01
215,qiang_01,,SOV,OBJ&LOWER,HIGHER,<10%,qiang02
216,qiang_01,,OSV,NO_TYPICAL_SCENARIO,ALL,>90%,qiang03
217,qiang_01,,OSV,TYPICAL_SCENARIO,ALL,50%,qiang04
218,qiang_02,,,SUBJ&UNMARKED,ANIMATE,50%,qiang05
219,qiang_02,,,SUBJ&MARKED,ALL,<10%,qiang01
220,qiang_02,,,SUBJ&UNMARKED,INANIMATE,<10%,
