ID,Marker_ID,TAM_Conditions,WordOrder_Conditions,Other_Conditions,Host,Marking_Probability,Examples
1,jup_01,,,,PRON&SG ; DEM&SG ; PROPER&SG ; KIN&SG ; HUMAN&SPEC&SG&NOUN,>90%,jup01
2,jup_01,,,,ANIMAL&ANTHROPOMORPH&SG&NOUN,>50%,jup03
3,jup_01,,,,ANIMAL&SG&NOUN,50%,jup04
4,jup_01,,,,SG&INANIMATE ; SG&NONSPEC&INDEF&HUMAN&NOUN,<10%,jup05
5,jup_02,,,,ALL&PL,>90%,jup02
6,she_01,,OSV,,ALL,>90%,
7,she_02,,OSV,,ALL,>90%,
8,she_03,,OSV,,ALL,>90%,
9,she_04,,OSV,,ALL,>90%,
10,she_05,,OSV,,ALL,>90%,she03
11,she_01,,not OSV,,DEF&NOUN,>,she01
12,she_01,,not OSV,,INDEF&NOUN,<,
13,she_02,,not OSV,,DEF&NOUN,>,
14,she_02,,not OSV,,INDEF&NOUN,<,she02
15,she_03,,not OSV,,DEF&NOUN,>,
16,she_03,,not OSV,,INDEF&NOUN,<,
17,she_04,,not OSV,,DEF&NOUN,>,
18,she_04,,not OSV,,INDEF&NOUN,<,
19,she_05,,not OSV,,DEF&NOUN,>,
20,she_05,,not OSV,,INDEF&NOUN,<,
21,ude_01,IMPER ; NONFIN&EMBEDDED,,,ALL,<50%,ude01;ude02
22,ude_02,IMPER ; NONFIN&EMBEDDED,,,ALL,<50%,ude01;ude02
23,ude_01,NON-IMPER & FINITE,LR_DISLOCATION,,TOPIC,>90%,ude03
24,ude_02,NON-IMPER & FINITE,LR_DISLOCATION,,TOPIC,>90%,
25,ude_01,NON-IMPER & FINITE,,,SPEC&GIVEN,50%,ude04
26,ude_02,NON-IMPER & FINITE,,,SPEC&GIVEN,50%,ude04
27,ude_01,NON-IMPER & FINITE,,,NONSPEC ; NEW,<50%,ude05
28,ude_02,NON-IMPER & FINITE,,,NONSPEC ; NEW,<50%,ude05
29,ude_01,NON-IMPER & FINITE,,,POSS&REFL&NP,<10%,ude06
30,ude_02,NON-IMPER & FINITE,,,POSS&REFL&NP,<10%,ude06
31,ude_01,,,"fast speech, especially after /o/, /u/, -wA, or -fA",ALL,50%,
32,opm_01,,,,HUMAN&SPEC&NONBABY ; ANTHROPOMORPH&SPEC,>50%,opm01
33,opm_01,,,,NONHUMAN ; NONSPEC ; BABY,<50%,opm02
34,opm_02,,,,HUMAN&SPEC&NONBABY ; ANTHROPOMORPH&SPEC,>50%,
35,opm_02,,,,NONHUMAN ; NONSPEC ; BABY,<50%,opm02
36,opm_03,,,,HUMAN&SPEC&NONBABY ; ANTHROPOMORPH&SPEC,>50%,
37,opm_03,,,,NONHUMAN ; NONSPEC ; BABY,<50%,opm02
38,opm_04,,,,HUMAN&SPEC&NONBABY ; ANTHROPOMORPH&SPEC,>50%,
39,opm_04,,,,NONHUMAN ; NONSPEC ; BABY,<50%,opm02
40,opm_05,,,,HUMAN&SPEC&NONBABY ; ANTHROPOMORPH&SPEC,>50%,
41,opm_05,,,,NONHUMAN ; NONSPEC ; BABY,<50%,opm02
42,opm_06,,,,HUMAN&SPEC&NONBABY ; ANTHROPOMORPH&SPEC,>50%,
43,opm_06,,,,NONHUMAN ; NONSPEC ; BABY,<50%,opm02
44,komnzo_01,,,,ANIMATE&PL&NOUN,>90%,komnzo01
45,komnzo_02,,,,ANIMATE&PL&NOUN,>90%,
46,komnzo_03,,,,ANIMATE&SG&NOUN ; INANIMATE&NOUN,>90%,komnzo02
47,komnzo_04,,,non-inclusory construction,ANIMATE&PL&NOUN,50%,
48,komnzo_05,,,non-inclusory construction,ANIMATE&PL&NOUN,50%,
49,komnzo_04,,,non-inclusory construction,INANIMATE&NOUN ; ANIMATE&SG&NOUN,<10%,komnzo02
50,komnzo_05,,,non-inclusory construction,INANIMATE&NOUN ; ANIMATE&SG&NOUN,<10%,komnzo02
51,komnzo_04,,,inclusory construction,ANIMATE&PL&NOUN,>90%,
52,komnzo_05,,,inclusory construction,ANIMATE&PL&NOUN,>90%,
53,komnzo_04,,,inclusory construction,INANIMATE&NOUN ; ANIMATE&SG&NOUN,<10%,
54,komnzo_05,,,inclusory construction,INANIMATE&NOUN ; ANIMATE&SG&NOUN,<10%,
55,rmt_01,,,,DEF&NOUN&SG ; PROPER&SG ; NOUN&SG+REL,>90%,
56,rmt_01,,,,INDEF&NOUN&SG-REL ; KIN&SG,<10%,rmt01
57,rmt_02,,,,DEF&NOUN&SG ; PROPER&SG ; NOUN&SG+REL,>90%,
58,rmt_02,,,,INDEF&NOUN&SG-REL ; KIN&SG,<10%,rmt01
59,rmt_03,,,,DEF&NOUN&PL ; PROPER&PL ; NOUN&PL+REL,>90%,
60,rmt_03,,,,INDEF&NOUN&PL-REL ; KIN&PL,<10%,rmt01
61,rmt_04,,,,DEF&NOUN&SG ; PROPER&SG ; NOUN&SG+REL,>90%,
62,rmt_04,,,,INDEF&NOUN&SG-REL ; KIN&SG,<10%,rmt01
63,rmt_05,,,,DEF&NOUN&SG ; PROPER&SG ; NOUN&SG+REL,>90%,rmt02
64,rmt_05,,,,INDEF&NOUN&SG-REL ; KIN&SG,<10%,rmt01
65,rap_01,,VSO,no subject shift,ALL,50%,rap03;rap04
66,rap_01,,VSO,subject shift,ALL,50%,
67,rap_01,,VOS ; OVS,,ALL,>90%,rap01
68,rap_01,,VS,no overt OBJ & new texts,ALL,>90%,rap02
69,rap_01,,VS,no overt OBJ & old texts,ALL,50%,
70,rap_01,,SOV ; OSV ; SVO,,ALL,<10%,
71,rap_02,,OV,,ALL,<10%,rap11
72,rap_02,,VO,overt SUBJ,ALL,>,rap07
73,rap_02,,VO,no overt SUBJ,ALL,<,
74,rap_02,IMPER,,no overt SUBJ,ALL,<50%,rap09
75,rap_02,IMPER,,no overt SUBJ,PRON,>,rap06
76,rap_02,IMPER,,no overt SUBJ,NOUN,<,rap09
77,rap_02,IMPER,,overt SUBJ,ALL,>90%,rap05
78,rap_02,NON-IMPER,VO,"verbs ""obtain"", ""hear"" and ""see"" & overt SUBJ",ALL,<50%,rap13
79,rap_02,NON-IMPER,VO,"verbs ""obtain"", ""hear"" and ""see"" & no overt SUBJ",ALL,<10%,rap12
80,rap_02,NON-IMPER,VO,"no overt SUBJ & no verbs ""obtain"", ""hear"", ""see""",PREDICTABLE_VERB ; NONHUMAN,<,rap08
81,rap_02,NON-IMPER,VO,"no overt SUBJ & no verbs ""obtain"", ""hear"", ""see""",NONPREDICTABLE_VERB ; HUMAN,>,
82,rap_02,NON-IMPER,VO,"overt SUBJ & no verbs ""obtain"", ""hear"", ""see""",ALL,>90%,rap07
83,rap_03,NON-IMPER,OV,,ALL,<10%,
84,rap_03,NON-IMPER,VO,overt SUBJ,ALL,>,
85,rap_03,NON-IMPER,VO,no overt SUBJ,ALL,<,
86,rap_03,NON-IMPER,VO,"verbs ""obtain"", ""hear"" and ""see"" & overt SUBJ",ALL,<50%,
87,rap_03,NON-IMPER,VO,"verbs ""obtain"", ""hear"" and ""see"" & no overt SUBJ",ALL,<10%,
88,rap_03,NON-IMPER,VO,"no overt SUBJ & no verbs ""obtain"", ""hear"", ""see""",PREDICTABLE_VERB ; NONHUMAN,<,
89,rap_03,NON-IMPER,VO,"no overt SUBJ & no verbs ""obtain"", ""hear"", ""see""",NONPREDICTABLE_VERB ; HUMAN,>,
90,rap_03,NON-IMPER,VO,"overt SUBJ & no verbs ""obtain"", ""hear"", ""see""",ALL,>90%,
91,rap_03,IMPER,,,ALL,>90%,rap10
92,ybh_01,,,,NOUN ; PROPER ; 3P&PRON,>90%,ybh01
93,ybh_01,,,,1P&PRON ; 2P&PRON,<10%,
94,kor_05,,,,FOCUS,>90%,kor01
95,kor_06,,,,FOCUS,>90%,
96,kor_05,,,,PRON&NONFOCUS,>50%,kor06
97,kor_06,,,,PRON&NONFOCUS,>50%,
98,kor_05,,,,LIGHT_VERB&NOUN&NONFOCUS ; ANIMATE&NOUN&NONFOCUS ; PROPER&NONFOCUS,50%,kor02
99,kor_06,,,,LIGHT_VERB&NOUN&NONFOCUS ; ANIMATE&NOUN&NONFOCUS ; PROPER&NONFOCUS,50%,kor02
100,kor_05,,,,INANIMATE&NOUN&NONFOCUS ; NOUN&NONFOCUS ; 3P&NONFOCUS,<50%,
101,kor_06,,,,INANIMATE&NOUN&NONFOCUS ; NOUN&NONFOCUS ; 3P&NONFOCUS,<50%,
102,kor_05,,,,ANIMATE ; PRON ; PROPER ; DEF ; HEAVY ; NONADJACENT,>,kor06
103,kor_06,,,,INANIMATE ; NOUN ; INDEF ; LIGHT ; ADJACENT,<,kor04
104,css_01,NON-IMPER,,,ALL,>90%,css01
105,css_02,NON-IMPER,,,ALL,>90%,
106,css_03,NON-IMPER,,,ALL,>90%,
107,css_01,IMPER,,,ALL,<10%,
108,css_02,IMPER,,,ALL,<10%,
109,css_03,IMPER,,,ALL,<10%,
110,agr_01,,,1P&PL&SUBJ ; 2P&PL&SUBJ,1P&SG ; 2P&SG,>90%,agr01
111,agr_01,,,1P&PL&SUBJ ; 2P&PL&SUBJ,1P&PL ; 2P&PL ; 3P,<10%,
112,agr_01,,,2P&SG&SUBJ,1P&SG,>90%,
113,agr_01,,,2P&SG&SUBJ,1P&PL ; 2P&PL ; 3P,<10%,
114,agr_01,,,1P&SG&SUBJ,NOUN ; 2P&SG ; 1P&PL ; 2P&PL ; 3P,>90%,
115,agr_01,,,3P&SUBJ,ALL,>90%,agr02
116,ikx_01,MAIN ; SEQ,,,ALL,>90%,ikx01
117,ikx_02,MAIN ; SEQ,,,ALL,>90%,
118,ikx_07,,,1P&SUBJ ; 2P&SUBJ,ALL,>90%,ikx03
119,ikx_08,,,1P&SUBJ ; 2P&SUBJ,ALL,>90%,
120,ikx_03,,,3P&SUBJ,ALL,>90%,ikx04
121,ikx_04,,,3P&SUBJ,ALL,>90%,
122,ikx_03,SUB,,,ALL,>90%,ikx02
123,ikx_04,SUB,,,ALL,>90%,
124,ikx_05,SUB,,,ALL,>90%,ikx02
125,ikx_06,SUB,,,ALL,>90%,
126,qub_01,MAIN,,,ALL,>90%,qub01
127,qub_01,SUB,,,ALL,50%,qub02
128,bsk_01,NON-CON ; NON-FUT,,,ALL,>90%,bsk01
129,bsk_01,CON ; FUT,,,3P&PRON ; DEM ; PROPER ; NOUN,>90%,
130,bsk_01,CON ; FUT,,,2P&PRON,<,bsk03
131,bsk_01,CON ; FUT,,,1P&PRON,>,
132,bsk_01,CON ; FUT,,,1P&PRON&SG ; 2P&PRON,50%,bsk02
