ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Usages,Type,Condition,Examples
qub-P_Pronom_Scale,qub,P_Pronom_Scale,none,,,,,,,
qub-P_Def_Scale,qub,P_Def_Scale,none,,,,,,,
qub-P_Person_Scale,qub,P_Person_Scale,none,,,,,,,
bsk-A_Marking_Type,bsk,A_Marking_Type,differential,,,,,,,
bsk-A_Marking_Contrast,bsk,A_Marking_Contrast,zero_nonzero,,,,,,,
bsk-A_Local_or_Global,bsk,A_Local_or_Global,local,,,,,,,
bsk-A_Split_or_Fluid,bsk,A_Split_or_Fluid,split-fluid,,,,,,,
bsk-A_TAM_DM,bsk,A_TAM_DM,yes,,,,,,,
bsk-A_WO_DM,bsk,A_WO_DM,no,,,,,,,
bsk-A_Other_DM,bsk,A_Other_DM,no,,,,,,,
bsk-A_Animacy_Scale,bsk,A_Animacy_Scale,none,,,,,,,
bsk-A_Pronom_Scale,bsk,A_Pronom_Scale,fit,,,,,,,
bsk-A_Def_Scale,bsk,A_Def_Scale,none,,,,,,,
bsk-A_Person_Scale,bsk,A_Person_Scale,fit,,,,,,,
bsk-P_Marking_Type,bsk,P_Marking_Type,none,,,,,,,
bsk-P_Marking_Contrast,bsk,P_Marking_Contrast,?,,,,,,,
bsk-P_Local_or_Global,bsk,P_Local_or_Global,?,,,,,,,
bsk-P_Split_or_Fluid,bsk,P_Split_or_Fluid,?,,,,,,,
bsk-P_TAM_DM,bsk,P_TAM_DM,?,,,,,,,
bsk-P_WO_DM,bsk,P_WO_DM,?,,,,,,,
bsk-P_Other_DM,bsk,P_Other_DM,?,,,,,,,
bsk-P_Animacy_Scale,bsk,P_Animacy_Scale,?,,,,,,,
bsk-P_Pronom_Scale,bsk,P_Pronom_Scale,?,,,,,,,
bsk-P_Def_Scale,bsk,P_Def_Scale,?,,,,,,,
bsk-P_Person_Scale,bsk,P_Person_Scale,?,,,,,,,
agr-A_Marking_Type,agr,A_Marking_Type,none,,,,,,,
agr-A_Marking_Contrast,agr,A_Marking_Contrast,?,,,,,,,
agr-A_Local_or_Global,agr,A_Local_or_Global,?,,,,,,,
agr-A_Split_or_Fluid,agr,A_Split_or_Fluid,?,,,,,,,
agr-A_TAM_DM,agr,A_TAM_DM,?,,,,,,,
agr-A_WO_DM,agr,A_WO_DM,?,,,,,,,
agr-A_Other_DM,agr,A_Other_DM,?,,,,,,,
agr-A_Animacy_Scale,agr,A_Animacy_Scale,?,,,,,,,
agr-A_Pronom_Scale,agr,A_Pronom_Scale,?,,,,,,,
agr-A_Def_Scale,agr,A_Def_Scale,?,,,,,,,
agr-A_Person_Scale,agr,A_Person_Scale,?,,,,,,,
agr-P_Marking_Type,agr,P_Marking_Type,differential,,,,,,,
agr-P_Marking_Contrast,agr,P_Marking_Contrast,zero_nonzero,,,,,,,
agr-P_Local_or_Global,agr,P_Local_or_Global,global,,,,,,,
agr-P_Split_or_Fluid,agr,P_Split_or_Fluid,split,,,,,,,
agr-P_TAM_DM,agr,P_TAM_DM,no,,,,,,,
agr-P_WO_DM,agr,P_WO_DM,no,,,,,,,
agr-P_Other_DM,agr,P_Other_DM,yes,,,,,,,
agr-P_Animacy_Scale,agr,P_Animacy_Scale,none,,,,,,,
agr-P_Pronom_Scale,agr,P_Pronom_Scale,fit,,,,,,,
agr-P_Def_Scale,agr,P_Def_Scale,none,,,,,,,
agr-P_Person_Scale,agr,P_Person_Scale,fit,,,,,,,
opm-A_Marking_Type,opm,A_Marking_Type,none,,,,,,,
opm-A_Marking_Contrast,opm,A_Marking_Contrast,?,,,,,,,
opm-A_Local_or_Global,opm,A_Local_or_Global,?,,,,,,,
opm-A_Split_or_Fluid,opm,A_Split_or_Fluid,?,,,,,,,
opm-A_TAM_DM,opm,A_TAM_DM,?,,,,,,,
opm-A_WO_DM,opm,A_WO_DM,?,,,,,,,
opm-A_Other_DM,opm,A_Other_DM,?,,,,,,,
opm-A_Animacy_Scale,opm,A_Animacy_Scale,?,,,,,,,
opm-A_Pronom_Scale,opm,A_Pronom_Scale,?,,,,,,,
opm-A_Def_Scale,opm,A_Def_Scale,?,,,,,,,
opm-A_Person_Scale,opm,A_Person_Scale,?,,,,,,,
opm-P_Marking_Type,opm,P_Marking_Type,differential,,,,,,,
opm-P_Marking_Contrast,opm,P_Marking_Contrast,zero_nonzero,,,,,,,
opm-P_Local_or_Global,opm,P_Local_or_Global,local,,,,,,,
opm-P_Split_or_Fluid,opm,P_Split_or_Fluid,fluid,,,,,,,
opm-P_TAM_DM,opm,P_TAM_DM,no,,,,,,,
opm-P_WO_DM,opm,P_WO_DM,no,,,,,,,
opm-P_Other_DM,opm,P_Other_DM,no,,,,,,,
opm-P_Animacy_Scale,opm,P_Animacy_Scale,fit,,,,,,,
opm-P_Pronom_Scale,opm,P_Pronom_Scale,none,,,,,,,
opm-P_Def_Scale,opm,P_Def_Scale,fit,,,,,,,
opm-P_Person_Scale,opm,P_Person_Scale,none,,,,,,,
rap-A_Marking_Type,rap,A_Marking_Type,differential,,,,,,,
rap-A_Marking_Contrast,rap,A_Marking_Contrast,zero_nonzero,,,,,,,
rap-A_Local_or_Global,rap,A_Local_or_Global,?,,,,,,,
rap-A_Split_or_Fluid,rap,A_Split_or_Fluid,split-fluid,,,,,,,
rap-A_TAM_DM,rap,A_TAM_DM,no,,,,,,,
rap-A_WO_DM,rap,A_WO_DM,yes,,,,,,,
rap-A_Other_DM,rap,A_Other_DM,yes,,,,,,,
rap-A_Animacy_Scale,rap,A_Animacy_Scale,none,,,,,,,
rap-A_Pronom_Scale,rap,A_Pronom_Scale,none,,,,,,,
rap-A_Def_Scale,rap,A_Def_Scale,none,,,,,,,
rap-A_Person_Scale,rap,A_Person_Scale,none,,,,,,,
rap-P_Marking_Type,rap,P_Marking_Type,differential,,,,,,,
rap-P_Marking_Contrast,rap,P_Marking_Contrast,zero_nonzero,,,,,,,
rap-P_Local_or_Global,rap,P_Local_or_Global,local; global,,,,,,,
rap-P_Split_or_Fluid,rap,P_Split_or_Fluid,split-fluid,,,,,,,
rap-P_TAM_DM,rap,P_TAM_DM,yes,,,,,,,
rap-P_WO_DM,rap,P_WO_DM,yes,,,,,,,
rap-P_Other_DM,rap,P_Other_DM,no,,,,,,,
rap-P_Animacy_Scale,rap,P_Animacy_Scale,none,,,,,,,
rap-P_Pronom_Scale,rap,P_Pronom_Scale,fit,,,,,,,
rap-P_Def_Scale,rap,P_Def_Scale,none,,,,,,,
rap-P_Person_Scale,rap,P_Person_Scale,none,,,,,,,
tci-A_Marking_Type,tci,A_Marking_Type,stable overt,,,,,,,
tci-A_Marking_Contrast,tci,A_Marking_Contrast,?,,,,,,,
tci-A_Local_or_Global,tci,A_Local_or_Global,?,,,,,,,
tci-A_Split_or_Fluid,tci,A_Split_or_Fluid,?,,,,,,,
tci-A_TAM_DM,tci,A_TAM_DM,?,,,,,,,
tci-A_WO_DM,tci,A_WO_DM,?,,,,,,,
tci-A_Other_DM,tci,A_Other_DM,?,,,,,,,
tci-A_Animacy_Scale,tci,A_Animacy_Scale,?,,,,,,,
tci-A_Pronom_Scale,tci,A_Pronom_Scale,?,,,,,,,
tci-A_Def_Scale,tci,A_Def_Scale,?,,,,,,,
tci-A_Person_Scale,tci,A_Person_Scale,?,,,,,,,
tci-P_Marking_Type,tci,P_Marking_Type,differential,,,,,,,
tci-P_Marking_Contrast,tci,P_Marking_Contrast,zero_nonzero,,,,,,,
tci-P_Local_or_Global,tci,P_Local_or_Global,local,,,,,,,
tci-P_Split_or_Fluid,tci,P_Split_or_Fluid,split-fluid,,,,,,,
tci-P_TAM_DM,tci,P_TAM_DM,no,,,,,,,
tci-P_WO_DM,tci,P_WO_DM,no,,,,,,,
tci-P_Other_DM,tci,P_Other_DM,no,,,,,,,
tci-P_Animacy_Scale,tci,P_Animacy_Scale,fit,,,,,,,
tci-P_Pronom_Scale,tci,P_Pronom_Scale,none,,,,,,,
tci-P_Def_Scale,tci,P_Def_Scale,none,,,,,,,
tci-P_Person_Scale,tci,P_Person_Scale,none,,,,,,,
ikx-A_Marking_Type,ikx,A_Marking_Type,differential,,,,,,,
ikx-A_Marking_Contrast,ikx,A_Marking_Contrast,stem_length,,,,,,,
ikx-A_Local_or_Global,ikx,A_Local_or_Global,?,,,,,,,
ikx-A_Split_or_Fluid,ikx,A_Split_or_Fluid,split,,,,,,,
ikx-A_TAM_DM,ikx,A_TAM_DM,?,,,,,,,
ikx-A_WO_DM,ikx,A_WO_DM,?,,,,,,,
ikx-A_Other_DM,ikx,A_Other_DM,yes,,,,,,,
ikx-A_Animacy_Scale,ikx,A_Animacy_Scale,none,,,,,,,
ikx-A_Pronom_Scale,ikx,A_Pronom_Scale,none,,,,,,,
ikx-A_Def_Scale,ikx,A_Def_Scale,none,,,,,,,
ikx-A_Person_Scale,ikx,A_Person_Scale,none,,,,,,,
ikx-P_Marking_Type,ikx,P_Marking_Type,differential,,,,,,,
ikx-P_Marking_Contrast,ikx,P_Marking_Contrast,stem_length,,,,,,,
ikx-P_Local_or_Global,ikx,P_Local_or_Global,global,,,,,,,
ikx-P_Split_or_Fluid,ikx,P_Split_or_Fluid,split,,,,,,,
ikx-P_TAM_DM,ikx,P_TAM_DM,?,,,,,,,
ikx-P_WO_DM,ikx,P_WO_DM,?,,,,,,,
ikx-P_Other_DM,ikx,P_Other_DM,yes,,,,,,,
ikx-P_Animacy_Scale,ikx,P_Animacy_Scale,none,,,,,,,
ikx-P_Pronom_Scale,ikx,P_Pronom_Scale,none,,,,,,,
ikx-P_Def_Scale,ikx,P_Def_Scale,none,,,,,,,
ikx-P_Person_Scale,ikx,P_Person_Scale,fit,,,,,,,
kxc-A_Marking_Type,kxc,A_Marking_Type,differential,,,,,,,
kxc-A_Marking_Contrast,kxc,A_Marking_Contrast,zero_nonzero,,,,,,,
kxc-A_Local_or_Global,kxc,A_Local_or_Global,local,,,,,,,
kxc-A_Split_or_Fluid,kxc,A_Split_or_Fluid,split,,,,,,,
kxc-A_TAM_DM,kxc,A_TAM_DM,no,,,,,,,
kxc-A_WO_DM,kxc,A_WO_DM,no,,,,,,,
kxc-A_Other_DM,kxc,A_Other_DM,yes,,,,,,,
kxc-A_Animacy_Scale,kxc,A_Animacy_Scale,none,,,,,,,
kxc-A_Pronom_Scale,kxc,A_Pronom_Scale,viol,,,,,,,
kxc-A_Def_Scale,kxc,A_Def_Scale,none,,,,,,,
kxc-A_Person_Scale,kxc,A_Person_Scale,none,,,,,,,
kxc-P_Marking_Type,kxc,P_Marking_Type,differential,,,,,,,
kxc-P_Marking_Contrast,kxc,P_Marking_Contrast,zero_nonzero,,,,,,,
kxc-P_Local_or_Global,kxc,P_Local_or_Global,local,,,,,,,
kxc-P_Split_or_Fluid,kxc,P_Split_or_Fluid,split,,,,,,,
kxc-P_TAM_DM,kxc,P_TAM_DM,no,,,,,,,
kxc-P_WO_DM,kxc,P_WO_DM,no,,,,,,,
kxc-P_Other_DM,kxc,P_Other_DM,yes,,,,,,,
kxc-P_Animacy_Scale,kxc,P_Animacy_Scale,none,,,,,,,
kxc-P_Pronom_Scale,kxc,P_Pronom_Scale,none,,,,,,,
kxc-P_Def_Scale,kxc,P_Def_Scale,none,,,,,,,
kxc-P_Person_Scale,kxc,P_Person_Scale,none,,,,,,,
sci-A_Marking_Type,sci,A_Marking_Type,differential,,,,,,,
sci-A_Marking_Contrast,sci,A_Marking_Contrast,zero_nonzero,,,,,,,
sci-A_Local_or_Global,sci,A_Local_or_Global,local,,,,,,,
sci-A_Split_or_Fluid,sci,A_Split_or_Fluid,split,,,,,,,
sci-A_TAM_DM,sci,A_TAM_DM,no,,,,,,,
sci-A_WO_DM,sci,A_WO_DM,no,,,,,,,
sci-A_Other_DM,sci,A_Other_DM,no,,,,,,,
sci-A_Animacy_Scale,sci,A_Animacy_Scale,none,,,,,,,
sci-A_Pronom_Scale,sci,A_Pronom_Scale,none,,,,,,,
sci-A_Def_Scale,sci,A_Def_Scale,none,,,,,,,
sci-A_Person_Scale,sci,A_Person_Scale,none,,,,,,,
sci-P_Marking_Type,sci,P_Marking_Type,differential,,,,,,,
sci-P_Marking_Contrast,sci,P_Marking_Contrast,zero_nonzero,,,,,,,
sci-P_Local_or_Global,sci,P_Local_or_Global,local,,,,,,,
sci-P_Split_or_Fluid,sci,P_Split_or_Fluid,fluid,,,,,,,
sci-P_TAM_DM,sci,P_TAM_DM,no,,,,,,,
sci-P_WO_DM,sci,P_WO_DM,no,,,,,,,
sci-P_Other_DM,sci,P_Other_DM,no,,,,,,,
sci-P_Animacy_Scale,sci,P_Animacy_Scale,fit,,,,,,,
sci-P_Pronom_Scale,sci,P_Pronom_Scale,none,,,,,,,
sci-P_Def_Scale,sci,P_Def_Scale,fit,,,,,,,
sci-P_Person_Scale,sci,P_Person_Scale,none,,,,,,,
gjr-A_Marking_Type,gjr,A_Marking_Type,differential,,,,,,,
gjr-A_Marking_Contrast,gjr,A_Marking_Contrast,zero_nonzero,,,,,,,
gjr-A_Local_or_Global,gjr,A_Local_or_Global,local; global,,,,,,,
gjr-A_Split_or_Fluid,gjr,A_Split_or_Fluid,split-fluid,,,,,,,
gjr-A_TAM_DM,gjr,A_TAM_DM,yes,,,,,,,
gjr-A_WO_DM,gjr,A_WO_DM,yes,,,,,,,
gjr-A_Other_DM,gjr,A_Other_DM,no,,,,,,,
gjr-A_Animacy_Scale,gjr,A_Animacy_Scale,fit,,,,,,,
gjr-A_Pronom_Scale,gjr,A_Pronom_Scale,none,,,,,,,
gjr-A_Def_Scale,gjr,A_Def_Scale,none,,,,,,,
gjr-A_Person_Scale,gjr,A_Person_Scale,none,,,,,,,
gjr-P_Marking_Type,gjr,P_Marking_Type,none,,,,,,,
gjr-P_Marking_Contrast,gjr,P_Marking_Contrast,?,,,,,,,
gjr-P_Local_or_Global,gjr,P_Local_or_Global,?,,,,,,,
gjr-P_Split_or_Fluid,gjr,P_Split_or_Fluid,?,,,,,,,
gjr-P_TAM_DM,gjr,P_TAM_DM,?,,,,,,,
gjr-P_WO_DM,gjr,P_WO_DM,?,,,,,,,
gjr-P_Other_DM,gjr,P_Other_DM,?,,,,,,,
gjr-P_Animacy_Scale,gjr,P_Animacy_Scale,?,,,,,,,
gjr-P_Pronom_Scale,gjr,P_Pronom_Scale,?,,,,,,,
gjr-P_Def_Scale,gjr,P_Def_Scale,?,,,,,,,
gjr-P_Person_Scale,gjr,P_Person_Scale,?,,,,,,,
cbv-A_Marking_Type,cbv,A_Marking_Type,none,,,,,,,
cbv-A_Marking_Contrast,cbv,A_Marking_Contrast,?,,,,,,,
cbv-A_Local_or_Global,cbv,A_Local_or_Global,?,,,,,,,
cbv-A_Split_or_Fluid,cbv,A_Split_or_Fluid,?,,,,,,,
cbv-A_TAM_DM,cbv,A_TAM_DM,?,,,,,,,
cbv-A_WO_DM,cbv,A_WO_DM,?,,,,,,,
cbv-A_Other_DM,cbv,A_Other_DM,?,,,,,,,
cbv-A_Animacy_Scale,cbv,A_Animacy_Scale,?,,,,,,,
cbv-A_Pronom_Scale,cbv,A_Pronom_Scale,?,,,,,,,
cbv-A_Def_Scale,cbv,A_Def_Scale,?,,,,,,,
cbv-A_Person_Scale,cbv,A_Person_Scale,?,,,,,,,
cbv-P_Marking_Type,cbv,P_Marking_Type,differential,,,,,,,
cbv-P_Marking_Contrast,cbv,P_Marking_Contrast,zero_nonzero,,,,,,,
cbv-P_Local_or_Global,cbv,P_Local_or_Global,global,,,,,,,
cbv-P_Split_or_Fluid,cbv,P_Split_or_Fluid,split-fluid,,,,,,,
cbv-P_TAM_DM,cbv,P_TAM_DM,no,,,,,,,
cbv-P_WO_DM,cbv,P_WO_DM,yes,,,,,,,
cbv-P_Other_DM,cbv,P_Other_DM,no,,,,,,,
cbv-P_Animacy_Scale,cbv,P_Animacy_Scale,fit,,,,,,,
cbv-P_Pronom_Scale,cbv,P_Pronom_Scale,fit,,,,,,,
cbv-P_Def_Scale,cbv,P_Def_Scale,fit,,,,,,,
cbv-P_Person_Scale,cbv,P_Person_Scale,none,,,,,,,
heb-A_Marking_Type,heb,A_Marking_Type,none,,,,,,,
heb-A_Marking_Contrast,heb,A_Marking_Contrast,?,,,,,,,
heb-A_Local_or_Global,heb,A_Local_or_Global,?,,,,,,,
heb-A_Split_or_Fluid,heb,A_Split_or_Fluid,?,,,,,,,
heb-A_TAM_DM,heb,A_TAM_DM,?,,,,,,,
heb-A_WO_DM,heb,A_WO_DM,?,,,,,,,
heb-A_Other_DM,heb,A_Other_DM,?,,,,,,,
heb-A_Animacy_Scale,heb,A_Animacy_Scale,?,,,,,,,
heb-A_Pronom_Scale,heb,A_Pronom_Scale,?,,,,,,,
heb-A_Def_Scale,heb,A_Def_Scale,?,,,,,,,
heb-A_Person_Scale,heb,A_Person_Scale,?,,,,,,,
heb-P_Marking_Type,heb,P_Marking_Type,differential,,,,,,,
heb-P_Marking_Contrast,heb,P_Marking_Contrast,zero_nonzero,,,,,,,
heb-P_Local_or_Global,heb,P_Local_or_Global,local,,,,,,,
heb-P_Split_or_Fluid,heb,P_Split_or_Fluid,split,,,,,,,
heb-P_TAM_DM,heb,P_TAM_DM,no,,,,,,,
heb-P_WO_DM,heb,P_WO_DM,no,,,,,,,
heb-P_Other_DM,heb,P_Other_DM,no,,,,,,,
heb-P_Animacy_Scale,heb,P_Animacy_Scale,none,,,,,,,
heb-P_Pronom_Scale,heb,P_Pronom_Scale,fit,,,,,,,
heb-P_Def_Scale,heb,P_Def_Scale,fit,,,,,,,
heb-P_Person_Scale,heb,P_Person_Scale,none,,,,,,,
pes-A_Marking_Type,pes,A_Marking_Type,none,,,,,,,
pes-A_Marking_Contrast,pes,A_Marking_Contrast,?,,,,,,,
pes-A_Local_or_Global,pes,A_Local_or_Global,?,,,,,,,
pes-A_Split_or_Fluid,pes,A_Split_or_Fluid,?,,,,,,,
pes-A_TAM_DM,pes,A_TAM_DM,?,,,,,,,
pes-A_WO_DM,pes,A_WO_DM,?,,,,,,,
pes-A_Other_DM,pes,A_Other_DM,?,,,,,,,
pes-A_Animacy_Scale,pes,A_Animacy_Scale,?,,,,,,,
pes-A_Pronom_Scale,pes,A_Pronom_Scale,?,,,,,,,
pes-A_Def_Scale,pes,A_Def_Scale,?,,,,,,,
pes-A_Person_Scale,pes,A_Person_Scale,?,,,,,,,
pes-P_Marking_Type,pes,P_Marking_Type,differential,,,,,,,
pes-P_Marking_Contrast,pes,P_Marking_Contrast,zero_nonzero,,,,,,,
pes-P_Local_or_Global,pes,P_Local_or_Global,local,,,,,,,
pes-P_Split_or_Fluid,pes,P_Split_or_Fluid,split-fluid,,,,,,,
pes-P_TAM_DM,pes,P_TAM_DM,no,,,,,,,
pes-P_WO_DM,pes,P_WO_DM,no,,,,,,,
pes-P_Other_DM,pes,P_Other_DM,no,,,,,,,
pes-P_Animacy_Scale,pes,P_Animacy_Scale,fit,,,,,,,
pes-P_Pronom_Scale,pes,P_Pronom_Scale,fit,,,,,,,
pes-P_Def_Scale,pes,P_Def_Scale,fit,,,,,,,
pes-P_Person_Scale,pes,P_Person_Scale,none,,,,,,,
esu-A_Marking_Type,esu,A_Marking_Type,differential,,,,,,,
esu-A_Marking_Contrast,esu,A_Marking_Contrast,marker_length,,,,,,,
esu-A_Local_or_Global,esu,A_Local_or_Global,local,,,,,,,
esu-A_Split_or_Fluid,esu,A_Split_or_Fluid,split,,,,,,,
esu-A_TAM_DM,esu,A_TAM_DM,no,,,,,,,
esu-A_WO_DM,esu,A_WO_DM,no,,,,,,,
esu-A_Other_DM,esu,A_Other_DM,no,,,,,,,
esu-A_Animacy_Scale,esu,A_Animacy_Scale,none,,,,,,,
esu-A_Pronom_Scale,esu,A_Pronom_Scale,none,,,,,,,
esu-A_Def_Scale,esu,A_Def_Scale,none,,,,,,,
esu-A_Person_Scale,esu,A_Person_Scale,fit,,,,,,,
esu-P_Marking_Type,esu,P_Marking_Type,differential,,,,,,,
esu-P_Marking_Contrast,esu,P_Marking_Contrast,zero_nonzero; marker_length,,,,,,,
esu-P_Local_or_Global,esu,P_Local_or_Global,local,,,,,,,
esu-P_Split_or_Fluid,esu,P_Split_or_Fluid,split,,,,,,,
esu-P_TAM_DM,esu,P_TAM_DM,no,,,,,,,
esu-P_WO_DM,esu,P_WO_DM,no,,,,,,,
esu-P_Other_DM,esu,P_Other_DM,no,,,,,,,
esu-P_Animacy_Scale,esu,P_Animacy_Scale,none,,,,,,,
esu-P_Pronom_Scale,esu,P_Pronom_Scale,none,,,,,,,
esu-P_Def_Scale,esu,P_Def_Scale,none,,,,,,,
esu-P_Person_Scale,esu,P_Person_Scale,fit,,,,,,,
dhi-A_Marking_Type,dhi,A_Marking_Type,none,,,,,,,
dhi-A_Marking_Contrast,dhi,A_Marking_Contrast,?,,,,,,,
dhi-A_Local_or_Global,dhi,A_Local_or_Global,?,,,,,,,
dhi-A_Split_or_Fluid,dhi,A_Split_or_Fluid,?,,,,,,,
dhi-A_TAM_DM,dhi,A_TAM_DM,?,,,,,,,
dhi-A_WO_DM,dhi,A_WO_DM,?,,,,,,,
dhi-A_Other_DM,dhi,A_Other_DM,?,,,,,,,
dhi-A_Animacy_Scale,dhi,A_Animacy_Scale,?,,,,,,,
dhi-A_Pronom_Scale,dhi,A_Pronom_Scale,?,,,,,,,
dhi-A_Def_Scale,dhi,A_Def_Scale,?,,,,,,,
dhi-A_Person_Scale,dhi,A_Person_Scale,?,,,,,,,
dhi-P_Marking_Type,dhi,P_Marking_Type,differential,,,,,,,
dhi-P_Marking_Contrast,dhi,P_Marking_Contrast,zero_nonzero,,,,,,,
dhi-P_Local_or_Global,dhi,P_Local_or_Global,local; global,,,,,,,
dhi-P_Split_or_Fluid,dhi,P_Split_or_Fluid,fluid,,,,,,,
dhi-P_TAM_DM,dhi,P_TAM_DM,no,,,,,,,
dhi-P_WO_DM,dhi,P_WO_DM,no,,,,,,,
dhi-P_Other_DM,dhi,P_Other_DM,yes,,,,,,,
dhi-P_Animacy_Scale,dhi,P_Animacy_Scale,fit,,,,,,,
dhi-P_Pronom_Scale,dhi,P_Pronom_Scale,none,,,,,,,
dhi-P_Def_Scale,dhi,P_Def_Scale,fit,,,,,,,
dhi-P_Person_Scale,dhi,P_Person_Scale,none,,,,,,,
cng-A_Marking_Type,cng,A_Marking_Type,differential,,,,,,,
cng-A_Marking_Contrast,cng,A_Marking_Contrast,zero_nonzero,,,,,,,
cng-A_Local_or_Global,cng,A_Local_or_Global,global,,,,,,,
cng-A_Split_or_Fluid,cng,A_Split_or_Fluid,fluid; split,,,,,,,
cng-A_TAM_DM,cng,A_TAM_DM,no,,,,,,,
cng-A_WO_DM,cng,A_WO_DM,yes,,,,,,,
cng-A_Other_DM,cng,A_Other_DM,yes,,,,,,,
cng-A_Animacy_Scale,cng,A_Animacy_Scale,fit,,,,,,,
cng-A_Pronom_Scale,cng,A_Pronom_Scale,none,,,,,,,
cng-A_Def_Scale,cng,A_Def_Scale,none,,,,,,,
cng-A_Person_Scale,cng,A_Person_Scale,fit,,,,,,,
cng-P_Marking_Type,cng,P_Marking_Type,differential,,,,,,,
cng-P_Marking_Contrast,cng,P_Marking_Contrast,zero_nonzero,,,,,,,
cng-P_Local_or_Global,cng,P_Local_or_Global,local; global,,,,,,,
cng-P_Split_or_Fluid,cng,P_Split_or_Fluid,?,,,,,,,
cng-P_TAM_DM,cng,P_TAM_DM,?,,,,,,,
cng-P_WO_DM,cng,P_WO_DM,?,,,,,,,
cng-P_Other_DM,cng,P_Other_DM,?,,,,,,,
cng-P_Animacy_Scale,cng,P_Animacy_Scale,fit,,,,,,,
cng-P_Pronom_Scale,cng,P_Pronom_Scale,none,,,,,,,
cng-P_Def_Scale,cng,P_Def_Scale,none,,,,,,,
cng-P_Person_Scale,cng,P_Person_Scale,none,,,,,,,
jup_01,jup,P_Marker,ăn,,,epps_grammar_2008[173];epps_grammar_2008[176];epps_grammar_2008[175];epps_grammar_2008[174],,Suffix,SG,jup01;jup03;jup04;jup05
jup_02,jup,P_Marker,n'ăn,,,epps_grammar_2008[178],,Suffix,PL,jup02
she_01,she,P_Marker,əra,,,hellenthal_grammar_2010[258],,Suffix,After consonants,she01
she_02,she,P_Marker,ra,,,hellenthal_grammar_2010[259],,Suffix,After vowels,she02
she_03,she,P_Marker,a,,,,,Suffix,Possible after word-final s,
she_04,she,P_Marker,ana,,,,,Suffix,Regional; After consonants,
she_05,she,P_Marker,ara,,,hellenthal_grammar_2010[259],,Suffix,After consonants,she03
kor_01,kor,A_Marker,ga,,,,,Enclitic,Agent&After vowels,
kor_02,kor,A_Marker,i,,,lee_quantitative_2009[49];lee_quantitative_2009[49],,Enclitic,Agent&After consonants,kor04;kor03
kor_03,kor,A_Marker,neun,,,kwon_differential_2008[259],,Enclitic,Topic&After vowels,kor05
kor_04,kor,A_Marker,eun,,,,,Enclitic,Topic&After consonants,
kor_05,kor,P_Marker,leul,,,kwon_differential_2008[263];kwon_differential_2008[263],,Enclitic,After vowels,kor01;kor06
kor_06,kor,P_Marker,eul,,,lee_quantitative_2009[43],,Enclitic,After consonants,kor02
rap_01,rap,A_Marker,e,,,kieviet_grammar_2017[379];kieviet_grammar_2017[379];kieviet_grammar_2017[382];kieviet_grammar_2017[383],,Preposition,All,rap03;rap04;rap01;rap02
