ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Usages,Type,Condition,Examples
gjr_02,gjr,A_Marker,tu,,,meakins_case-marking_2008[301];meakins_case-marking_2008[296],,Suffix,After consonants,gjr01;gjr02
cbv_01,cbv,P_Marker,diʔ,,,bolanos_grammar_2016[194];bolanos_grammar_2016[203];bolanos_grammar_2016[306],,Enclitic,All,cbv01;cbv03;cbv02
heb_01,heb,P_Marker,et,,,aissen_differential_2003[453];aissen_differential_2003[453],,Preposition,All,heb01;heb02
pes_01,pes,P_Marker,râ,,,aissen_differential_2003[468];aissen_differential_2003[469];aissen_differential_2003[469],,Suffix,All,pes01;pes02;pes03
esu_01,esu,A_Marker,m,,,,,Suffix,SG&Unpossessed nominal&Free NP,
esu_02,esu,A_Marker,t,,,,,Suffix,PL&Unpossessed nominal&Free NP,
esu_03,esu,A_Marker,ɣ,,,,,Suffix,Dual&Unpossessed nominal&Free NP,
esu_04,esu,P_Marker,t,,,miyaoka_grammar_2012[733],,Suffix,PL&Unpossessed nominal&Free NP,esu02
esu_05,esu,P_Marker,ɣ,,,miyaoka_grammar_2012[732],,Suffix,Dual&Unpossessed nominal&Free NP,esu01
esu_06,esu,A_Marker,mi,,,miyaoka_grammar_2012[788],,Suffix,NOUN with 1st or 2nd person referents,esu03
esu_07,esu,P_Marker,mi,,,miyaoka_grammar_2012[788],,Suffix,NOUN with 1st or 2nd person referents,esu04
dhi_01,dhi,P_Marker,heŋ,,,king_grammar_2008[88];king_grammar_2008[89];king_grammar_2008[88];king_grammar_2008[88-89];king_grammar_2008[89];king_grammar_2008[89],,Enclitic,All,dhi01;dhi03;dhi06;dhi07;dhi04;dhi05
dhi_02,dhi,P_Marker,seŋ,,,king_grammar_2008[88],,Enclitic,Possible with PRON&SG,dhi02
qiang_01,cng,A_Marker,wu,,,lapolla_grammar_2003[78];lapolla_grammar_2003[78];lapolla_grammar_2003[80],,Postposition,All,qiang02;qiang03;qiang04
qiang_02,cng,P_Marker,ta,,,lapolla_grammar_2003[79];lapolla_grammar_2003[83],,Posposition,All,qiang01;qiang05
